datetime,T_outdoor,T_wb,solar,T_room,cooling_load_kW,chiller_power_kW,chw_pump_power_kW,cw_pump_power_kW,ct_fan_power_kW,terminal_fan_power_kW,total_power_kW,chiller_PLR,chiller_COP,T_chw_supply,T_cw_supply,pipe_heat_gain_kW
2024-07-05 23:50:00,10.819677144782062,6.2603708264653575,0.0,9.66782590040721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-05 23:51:00,9.172321703755655,3.973877880818299,0.0,9.49604450551205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-05 23:52:00,9.458251322563944,4.154568787207134,0.0,9.4829423648476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-05 23:53:00,9.943025297120053,5.77867673658334,0.0,9.642443915807814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-05 23:54:00,9.032411654305129,4.032013967595157,0.0,9.430957931390063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-05 23:55:00,9.701001147106776,4.31799463614217,0.0,9.524576513414733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-05 23:56:00,8.881770972718687,4.15827948568713,0.0,9.301728688566227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-05 23:57:00,8.935718579506771,4.509367725075124,0.0,9.174840303957495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-05 23:58:00,9.93419477005214,4.697586448992796,0.0,9.438093310263186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-05 23:59:00,9.356999562168722,4.214223493014542,0.0,9.409979729673797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:00:00,8.866892911958637,3.3526706095054197,0.0,9.221702391708305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:01:00,7.467175383976182,1.6597031105972848,0.0,8.613442968667734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:02:00,9.071995576662992,3.8593506287068857,0.0,8.77241398680753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:03:00,8.405002475717374,4.1114893652803435,0.0,8.645039764142796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:04:00,8.425034415212613,3.7973688815297675,0.0,8.56876830977568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:05:00,7.671703275261097,2.094723455542117,0.0,8.257773803610164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:06:00,8.879983978476178,4.464550387524802,0.0,8.473481627032713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:07:00,7.6620080327446844,2.8688430923736368,0.0,8.19215996136494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:08:00,9.495958240821087,4.596182762687208,0.0,8.644160748886797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:09:00,9.303359742850164,5.631809303895585,0.0,8.872691856114017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:10:00,8.73585887043788,3.537262972085884,0.0,8.825254596639814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:11:00,8.993503399295168,3.7841983092034224,0.0,8.883583091544372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:12:00,8.706698829138576,4.363179102308638,0.0,8.82226085545353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:13:00,9.175108386573449,4.6393232534874995,0.0,8.944586037542184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:14:00,7.4853547852868765,2.803088071951233,0.0,8.438699747010315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:15:00,7.691480526883444,3.5903716531760184,0.0,8.179653787776731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:16:00,7.502970298991885,3.690871417620876,0.0,7.945061155884801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:17:00,9.177310511973657,4.241041604239733,0.0,8.372257362653686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:18:00,8.692019951979287,3.3444169872375484,0.0,8.483112657121085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:19:00,7.403535312468497,2.2297670307741297,0.0,8.108844783276925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:20:00,8.811344041130951,3.278068505845715,0.0,8.352387225989759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:21:00,6.797408045459439,2.4887785938012086,0.0,7.8133070436835075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:22:00,8.350341952528787,3.541479403688529,0.0,7.999486305881989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:23:00,6.7027350986608525,1.4303958959977354,0.0,7.549928597362565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:24:00,8.555259511754162,3.772486728041565,0.0,7.898456718763844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:25:00,7.3180935232868904,2.7085000355807067,0.0,7.697256406155894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:26:00,8.779718394562492,3.1365530388446263,0.0,8.072524328296694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:27:00,8.113517859243164,3.240060657906162,0.0,8.086735965605216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:28:00,7.7165892664268085,2.6729342981088853,0.0,7.958413507934046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:29:00,6.986064734383594,1.8599077248397649,0.0,7.621319635119575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:30:00,9.06720011653214,4.420558877400928,0.0,8.122577480415684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:31:00,8.093238530815194,2.8607552558527187,0.0,8.112406253368187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:32:00,9.087411681611867,4.857583565644131,0.0,8.450421135231705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:33:00,7.945479786418321,3.7566428964944847,0.0,8.275368068425081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
2024-07-06 00:34:00,6.08748316082858,1.632776686613644,0.0,7.516872128659526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0
